day,date,volume,sigma_range,orders,first_ns,last_ns
20652,2026-07-18,706.03305775,0.01504844152318327,16189,1784332800264152000,1784419195290617000
20653,2026-07-19,630.1267750000001,0.010183396826842217,15177,1784419200196528000,1784505594716760000
20654,2026-07-20,2080.42759549,0.031513782496534755,29595,1784505600185111000,1784591999686748000
20655,2026-07-21,1418.73381123,0.027435132518038183,25273,1784592000254411000,1784678397105098000
20656,2026-07-22,1225.22248344,0.017783350736299625,24511,1784678400212699000,1784764776436604000
20657,2026-07-23,1437.32885448,0.025231431907598238,25169,1784764800407598000,1784851168892405000
20658,2026-07-24,1413.7403461,0.03220175750760738,25788,1784851200169607000,1784937598721952000
