clock,horizon,mean_impact_bps,fraction_of_completion,fraction_of_size_endpoint,reference_quote_completion_bps,reference_size_endpoint_bps,sem_iid,n,n_before_complete_filter,regime,granularity,variant,method,seed,primary
seconds,0.1,1.7378287362628118,1.2388668753954768,1.0429921407820473,1.402756640585821,1.6661954278579396,0.019918781863306655,35625,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,1.0,1.8147340564343766,1.2936912960729277,1.0891483832526165,1.402756640585821,1.6661954278579396,0.020731510637193192,35625,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,5.0,1.790295126160985,1.276269221875378,1.074480877949946,1.402756640585821,1.6661954278579396,0.02181205160651331,35625,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,15.0,1.6492131861407826,1.1756944422320013,0.9898077731860125,1.402756640585821,1.6661954278579396,0.023809982846449678,35625,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,30.0,1.4888071801106721,1.0613438832047979,0.8935369496390242,1.402756640585821,1.6661954278579396,0.02646640953223492,35625,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,60.0,1.3647602672547396,0.9729130682887281,0.8190877519147169,1.402756640585821,1.6661954278579396,0.03164080976952732,35625,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,180.0,1.2732098203093423,0.9076483999231847,0.7641419481904236,1.402756640585821,1.6661954278579396,0.046813662799426205,35625,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,600.0,1.2498060705061114,0.8909642872794855,0.7500957268337134,1.402756640585821,1.6661954278579396,0.07711368556116845,35625,35860,normal,aggressive,random_n6,random_traders,7,True
z,1.0,1.4023144693154128,1.0,0.8419870155052492,1.4023144693154128,1.665482297816587,0.019033616808782784,35773,35860,normal,aggressive,random_n6,random_traders,7,True
z,1.0833333333333333,1.7583751281391653,1.253909281131197,1.055775333333989,1.4023144693154128,1.665482297816587,0.021078877843349633,35773,35860,normal,aggressive,random_n6,random_traders,7,True
