regime,granularity,variant,method,seed,primary,date,input_rows,assigned_rows,all_groups,groups_ge2,measured_parents,assigned_share
normal,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-23,25169,16673,14876,1365,1365,0.6624418928046406
normal,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-24,25788,16838,15015,1382,1382,0.65293935163642
normal,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-18,16189,12779,11792,810,810,0.7893631478164186
normal,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-19,15177,11819,10956,725,725,0.7787441523357712
normal,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-20,29595,17492,15518,1439,1439,0.5910457847609394
normal,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-21,25273,17249,15518,1337,1337,0.682507023305504
normal,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-22,24511,17062,15252,1391,1391,0.69609563053323
normal,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-23,25169,16631,14859,1318,1318,0.6607731733481664
normal,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-24,25788,16977,15147,1374,1373,0.658329455560726
normal,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-18,16189,9459,8768,591,591,0.5842856260423744
normal,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-19,15177,9177,8575,520,520,0.604664953548132
normal,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-20,29595,10771,9675,847,847,0.3639466126034803
normal,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-21,25273,11205,10128,890,890,0.4433585249080046
normal,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-22,24511,11303,10174,907,907,0.46113989637305697
normal,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-23,25169,10799,9801,799,799,0.4290595573920299
normal,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-24,25788,10901,9796,867,867,0.422715991934233
normal,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-18,16189,9451,8758,578,578,0.5837914633393044
normal,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-19,15177,9015,8355,555,555,0.5939909072939316
normal,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-20,29595,11010,9925,846,846,0.37202230106436895
normal,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-21,25273,11294,10278,820,820,0.44688006963953625
normal,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-22,24511,11497,10332,889,889,0.46905471013014566
normal,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-23,25169,10649,9629,800,800,0.42309984504747905
normal,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-24,25788,10824,9721,871,871,0.41973010702652397
normal,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-18,16189,9423,8699,614,614,0.5820618938785596
normal,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-19,15177,9290,8667,528,528,0.6121104302563088
normal,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-20,29595,11024,9937,841,841,0.3724953539449231
