regime,granularity,variant,method,seed,primary,date,input_rows,assigned_rows,all_groups,groups_ge2,measured_parents,assigned_share
stress,fill,threshold_wait5s,time_threshold,7,True,2026-07-30,48072,23765,21805,1547,1547,0.4943626227325678
stress,fill,threshold_wait5s,time_threshold,7,True,2026-07-31,60112,25001,22664,1797,1797,0.41590697364918816
stress,fill,threshold_wait5s,time_threshold,7,True,2026-08-01,30822,18696,17401,1060,1060,0.6065797157874245
stress,fill,threshold_wait5s,time_threshold,7,True,2026-08-02,37660,20455,19006,1162,1162,0.5431492299522039
stress,fill,threshold_wait5s,time_threshold,23,True,2026-07-26,30995,17815,16590,981,980,0.5747701242135829
stress,fill,threshold_wait5s,time_threshold,23,True,2026-07-27,58517,24784,22459,1736,1736,0.4235350410991678
stress,fill,threshold_wait5s,time_threshold,23,True,2026-07-28,59168,25865,23368,1870,1870,0.437145078420768
stress,fill,threshold_wait5s,time_threshold,23,True,2026-07-29,64728,26271,23570,2013,2013,0.40586763070077864
stress,fill,threshold_wait5s,time_threshold,23,True,2026-07-30,48072,23793,21797,1565,1565,0.49494508237643536
stress,fill,threshold_wait5s,time_threshold,23,True,2026-07-31,60112,25081,22734,1756,1756,0.4172378227309023
stress,fill,threshold_wait5s,time_threshold,23,True,2026-08-01,30822,18553,17299,1012,1012,0.6019401726039841
stress,fill,threshold_wait5s,time_threshold,23,True,2026-08-02,37660,20409,18953,1153,1153,0.5419277748274031
stress,fill,threshold_wait5s,time_threshold,71,True,2026-07-26,30995,17810,16634,962,962,0.5746088078722374
stress,fill,threshold_wait5s,time_threshold,71,True,2026-07-27,58517,24895,22588,1750,1750,0.42543192576516226
stress,fill,threshold_wait5s,time_threshold,71,True,2026-07-28,59168,25841,23274,1924,1924,0.43673945375878853
stress,fill,threshold_wait5s,time_threshold,71,True,2026-07-29,64728,26369,23733,1953,1953,0.4073816586330491
stress,fill,threshold_wait5s,time_threshold,71,True,2026-07-30,48072,23983,21920,1592,1592,0.49889748710267934
stress,fill,threshold_wait5s,time_threshold,71,True,2026-07-31,60112,25133,22773,1793,1793,0.4181028746340165
stress,fill,threshold_wait5s,time_threshold,71,True,2026-08-01,30822,18560,17190,1055,1055,0.6021672831094672
stress,fill,threshold_wait5s,time_threshold,71,True,2026-08-02,37660,20426,18951,1175,1175,0.5423791821561338
