qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,5.219357947733704e-07,1.8558228106995884,0.0016482182488348344,486,stress,aggressive,threshold_wait5s,time_threshold,23,True
0,1,5.268558068369436e-07,4.295884946428571,0.0017926009879831262,448,stress,aggressive,threshold_wait5s,time_threshold,23,True
0,2,5.4786885957143e-07,6.724851750566894,0.0012089623637724324,441,stress,aggressive,threshold_wait5s,time_threshold,23,True
0,3,5.193070141688184e-07,10.427058574742269,0.0009274302240333883,388,stress,aggressive,threshold_wait5s,time_threshold,23,True
0,4,5.773391585742295e-07,19.048203510791367,0.0008851471835056056,278,stress,aggressive,threshold_wait5s,time_threshold,23,True
1,0,1.8074869583738763e-06,1.9232182142857142,0.003498793050364641,434,stress,aggressive,threshold_wait5s,time_threshold,23,True
1,1,1.8353318506154469e-06,4.278119976470588,0.002787411561535317,425,stress,aggressive,threshold_wait5s,time_threshold,23,True
1,2,1.8767697521234148e-06,6.781571312206573,0.0034079680617804275,426,stress,aggressive,threshold_wait5s,time_threshold,23,True
1,3,1.8301861927532064e-06,10.532118541262136,0.0025600459340970787,412,stress,aggressive,threshold_wait5s,time_threshold,23,True
1,4,1.864474734820673e-06,20.053526110465114,0.002968496698733782,344,stress,aggressive,threshold_wait5s,time_threshold,23,True
2,0,5.3744702616765925e-06,1.8972145700245702,0.0027607631855451316,407,stress,aggressive,threshold_wait5s,time_threshold,23,True
2,1,5.2866753465808264e-06,4.287252433333333,0.002833668699807703,390,stress,aggressive,threshold_wait5s,time_threshold,23,True
2,2,5.280867901867656e-06,6.687528580213904,0.0024750874416744353,374,stress,aggressive,threshold_wait5s,time_threshold,23,True
2,3,5.411422129694139e-06,10.578237134955753,0.0030410947772169174,452,stress,aggressive,threshold_wait5s,time_threshold,23,True
2,4,5.40039527145878e-06,21.589643911270983,0.003166616514475185,417,stress,aggressive,threshold_wait5s,time_threshold,23,True
3,0,1.8551799635645638e-05,1.924117295212766,0.0027941413670861683,376,stress,aggressive,threshold_wait5s,time_threshold,23,True
3,1,1.8923868295641284e-05,4.315504934624697,0.002335209540477997,413,stress,aggressive,threshold_wait5s,time_threshold,23,True
3,2,1.92816215106549e-05,6.7053006225,0.002673531240514359,400,stress,aggressive,threshold_wait5s,time_threshold,23,True
3,3,1.8955093713364167e-05,10.554386701799485,0.003962076543167231,389,stress,aggressive,threshold_wait5s,time_threshold,23,True
3,4,1.9160769299472483e-05,21.833729321814253,0.005078074079952019,463,stress,aggressive,threshold_wait5s,time_threshold,23,True
4,0,0.00035258447873293445,1.868388420118343,0.004466512091424804,338,stress,aggressive,threshold_wait5s,time_threshold,23,True
4,1,0.0003036373805905563,4.30343498630137,0.0031307091927184156,365,stress,aggressive,threshold_wait5s,time_threshold,23,True
4,2,0.00030969509013060005,6.751217969924812,0.00376015130784953,399,stress,aggressive,threshold_wait5s,time_threshold,23,True
4,3,0.00040515847137133186,10.545649747499999,0.003665831121657192,400,stress,aggressive,threshold_wait5s,time_threshold,23,True
4,4,0.00031631180512538547,23.959630807050093,0.006044615112753384,539,stress,aggressive,threshold_wait5s,time_threshold,23,True
