date,median_spread,mean_trade_size,trades_per_second,sign_acf_1,sign_acf_10,response_1,response_10,return_volatility
2026-07-05,0.09999999999854481,0.027478675974450386,0.38966005203135956,0.5433019400457529,0.1748588410104012,0.056816898897770786,0.48188410104012736,0.43758511512170256
2026-07-06,0.09999999999854481,0.0585993439199643,0.6225057142616449,0.6074012087401208,0.1990105270989101,0.1534467689446816,1.140590707882314,1.0773432463999042
2026-07-07,0.09999999999854481,0.04794721698287701,0.5394281635525994,0.6240585370040556,0.2396016654504872,0.1205222839731341,0.27672769026053806,0.8196988561095585
2026-07-08,0.09999999999854481,0.039827690230785695,0.5406586769203032,0.6089832794536385,0.1905781584582441,0.032965809587021916,0.12486830835117567,0.6779752717397384
2026-07-09,0.09999999999854481,0.04168092794968072,0.48395095744288946,0.5896871711470392,0.19594287491328374,0.016913804649385317,0.33110542305577995,0.6162362584591553
2026-07-10,0.09999999999854481,0.03685808401375271,0.5453552244904929,0.6068934779378993,0.19317313407489173,0.05779475750822178,0.23117861843503143,0.5769334983289461
2026-07-11,0.09999999999854481,0.020370025771111838,0.3194838814638843,0.5464821389754365,0.19697024607690355,0.11894427940004158,0.7925307143116025,0.13543414369365278
2026-07-12,0.09999999999854481,0.019175119271157167,0.3350811603351157,0.6064112750008636,0.18362128541810643,0.07344986009879152,0.42557014512786634,0.2840616111360386
2026-07-13,0.09999999999854481,0.03418192074478013,0.63251046083332,0.6671668557625444,0.18666837491077476,-0.013355048859935973,0.24945366692899845,0.8032977617948985
2026-07-15,0.09999999999854481,0.03330652077800598,0.6199931938314358,0.6763942568009111,0.19144724556489262,0.06623660330856512,0.4771835141646072,0.285544287163038
