window_start,strategy,arrival_mid,average_touch_fill,shortfall_bp,terminal_mid_drift_bp,mean_spread,mean_touch_depth
2026-07-18 00:00:00.317468166+00:00,immediate,63906.95,63906.9,0.007823875180341798,6.071327140475787,0.0999999999989086,0.6351424510000001
2026-07-18 00:00:00.317468166+00:00,twap,63906.95,63895.225000000006,1.8346987299489759,6.071327140475787,0.0999999999989086,0.6351424510000001
2026-07-18 00:00:00.317468166+00:00,adaptive,63906.95,63897.441750971935,1.4878270717131679,6.071327140475787,0.0999999999989086,0.6351424510000001
2026-07-18 00:50:00.317468166+00:00,immediate,63905.25,63905.2,0.007824083311294515,7.55806447827102,0.0999999999989086,0.33815386550000004
2026-07-18 00:50:00.317468166+00:00,twap,63905.25,63867.174999999996,5.958039441204653,7.55806447827102,0.0999999999989086,0.33815386550000004
2026-07-18 00:50:00.317468166+00:00,adaptive,63905.25,63869.06910558471,5.661646643317597,7.55806447827102,0.0999999999989086,0.33815386550000004
2026-07-18 01:40:00.317468166+00:00,immediate,63897.850000000006,63897.8,0.007824989417157287,-5.649642358857343,0.0999999999996362,0.31871081949999935
2026-07-18 01:40:00.317468166+00:00,twap,63897.850000000006,63906.200000000004,-1.3067732325889752,-5.649642358857343,0.0999999999996362,0.31871081949999935
2026-07-18 01:40:00.317468166+00:00,adaptive,63897.850000000006,63904.63506091636,-1.0618605972424158,-5.649642358857343,0.0999999999996362,0.31871081949999935
2026-07-18 02:30:00.317468166+00:00,immediate,63958.05,63958.0,0.007817624208822874,2.4703692498446888,0.1000000000003638,0.8008175399999999
2026-07-18 02:30:00.317468166+00:00,twap,63958.05,63958.515,-0.07270390513727475,2.4703692498446888,0.1000000000003638,0.8008175399999999
2026-07-18 02:30:00.317468166+00:00,adaptive,63958.05,63959.268356763925,-0.19049310664133784,2.4703692498446888,0.1000000000003638,0.8008175399999999
2026-07-18 03:20:00.317468166+00:00,immediate,63937.05,63937.0,0.007820191892323837,3.378322897288164,0.10000000000218279,0.29423391849999997
2026-07-18 03:20:00.317468166+00:00,twap,63937.05,63920.765000000014,2.5470364991798866,3.378322897288164,0.10000000000218279,0.29423391849999997
2026-07-18 03:20:00.317468166+00:00,adaptive,63937.05,63922.05219162649,2.3457147887666636,3.378322897288164,0.10000000000218279,0.29423391849999997
2026-07-18 04:10:00.317468166+00:00,immediate,63953.55,63953.5,0.007818174284759859,2.31417958815467,0.1,0.8659055825000002
2026-07-18 04:10:00.317468166+00:00,twap,63953.55,63947.525,0.9420900012589535,2.31417958815467,0.1,0.8659055825000002
2026-07-18 04:10:00.317468166+00:00,adaptive,63953.55,63948.40798896082,0.8040227695232839,2.31417958815467,0.1,0.8659055825000002
2026-07-18 05:00:00.317468166+00:00,immediate,63923.05,63923.0,0.007821904618586001,-0.06257523694413505,0.09999999999854481,1.6932148715
2026-07-18 05:00:00.317468166+00:00,twap,63923.05,63920.67,0.37232265982375007,-0.06257523694413505,0.09999999999854481,1.6932148715
2026-07-18 05:00:00.317468166+00:00,adaptive,63923.05,63920.819604784185,0.34891877277729,-0.06257523694413505,0.09999999999854481,1.6932148715
2026-07-18 05:50:00.317468166+00:00,immediate,63945.05,63945.0,0.007819213528320077,6.552500936352185,0.09999999999854481,2.4970665530000002
2026-07-18 05:50:00.317468166+00:00,twap,63945.05,63918.66,4.126980900007024,6.552500936352185,0.09999999999854481,2.4970665530000002
2026-07-18 05:50:00.317468166+00:00,adaptive,63945.05,63920.946701174274,3.7693768048861354,6.552500936352185,0.09999999999854481,2.4970665530000002
2026-07-18 06:40:00.317468166+00:00,immediate,63912.850000000006,63912.8,0.007823152934489758,-1.8932030100349566,0.09999999999854481,1.9626340195000012
2026-07-18 06:40:00.317468166+00:00,twap,63912.850000000006,63922.42500000001,-1.498133786868269,-1.8932030100349566,0.09999999999854481,1.9626340195000012
2026-07-18 06:40:00.317468166+00:00,adaptive,63912.850000000006,63922.01957525457,-1.4346997911318025,-1.8932030100349566,0.09999999999854481,1.9626340195000012
2026-07-18 07:30:00.317468166+00:00,immediate,63975.75,63975.7,0.007815461327598408,-0.0,0.10000000000582077,0.1501945714999999
2026-07-18 07:30:00.317468166+00:00,twap,63975.75,63975.70000000001,0.007815461325323809,-0.0,0.10000000000582077,0.1501945714999999
2026-07-18 07:30:00.317468166+00:00,adaptive,63975.75,63975.69999999999,0.007815461328735706,-0.0,0.10000000000582077,0.1501945714999999
2026-07-18 08:20:00.317468166+00:00,immediate,63935.850000000006,63935.8,0.007820338668041542,-3.910169333793169,0.09999999999854481,2.1006762114999993
2026-07-18 08:20:00.317468166+00:00,twap,63935.850000000006,63936.47500000001,-0.09775423334596722,-3.910169333793169,0.09999999999854481,2.1006762114999993
2026-07-18 08:20:00.317468166+00:00,adaptive,63935.850000000006,63936.24163671035,-0.06125463419110804,-3.910169333793169,0.09999999999854481,2.1006762114999993
2026-07-18 09:10:00.317468166+00:00,immediate,63937.95,63937.9,0.007820081813013153,0.6099663814673726,0.09999999999854481,0.1867565205000002
2026-07-18 09:10:00.317468166+00:00,twap,63937.95,63933.86499999999,0.6389006841799594,0.6099663814673726,0.09999999999854481,0.1867565205000002
2026-07-18 09:10:00.317468166+00:00,adaptive,63937.95,63933.91171875953,0.6315937937428601,0.6099663814673726,0.09999999999854481,0.1867565205000002
2026-07-18 10:00:00.317468166+00:00,immediate,63945.05,63945.0,0.007819213528320077,0.046915281167644776,0.10000000000072759,0.6220545734999997
2026-07-18 10:00:00.317468166+00:00,twap,63945.05,63945.33,-0.04378759575586161,0.046915281167644776,0.10000000000072759,0.6220545734999997
2026-07-18 10:00:00.317468166+00:00,adaptive,63945.05,63945.31477786257,-0.041407092897532354,0.046915281167644776,0.10000000000072759,0.6220545734999997
2026-07-18 10:50:00.317468166+00:00,immediate,63962.05,63962.0,0.007817135317412493,-0.26578260077609916,0.10000000000291039,4.0976511370000015
2026-07-18 10:50:00.317468166+00:00,twap,63962.05,63963.08499999999,-0.16181470105929072,-0.26578260077609916,0.10000000000291039,4.0976511370000015
2026-07-18 10:50:00.317468166+00:00,adaptive,63962.05,63962.97998085445,-0.14539572362762024,-0.26578260077609916,0.10000000000291039,4.0976511370000015
2026-07-18 11:40:00.317468166+00:00,immediate,63979.05,63979.0,0.007815058210915975,-0.0,0.09999999999854481,0.04777131399999999
2026-07-18 11:40:00.317468166+00:00,twap,63979.05,63978.99999999999,0.007815058212053217,-0.0,0.09999999999854481,0.04777131399999999
2026-07-18 11:40:00.317468166+00:00,adaptive,63979.05,63979.0,0.007815058210915975,-0.0,0.09999999999854481,0.04777131399999999
2026-07-18 12:30:00.317468166+00:00,immediate,64679.95,64679.9,0.007730370848405793,-0.0,0.09999999999854481,2.43234786
2026-07-18 12:30:00.317468166+00:00,twap,64679.95,64679.900000000016,0.007730370846155959,-0.0,0.09999999999854481,2.43234786
2026-07-18 12:30:00.317468166+00:00,adaptive,64679.95,64679.89999999999,0.007730370850655627,-0.0,0.09999999999854481,2.43234786
