strategy,windows,mean_shortfall_bp,median_shortfall_bp,mean_terminal_drift_bp,mean_spread,mean_touch_depth
adaptive,24,0.5082997315079473,0.007730370850655627,0.7175113921923262,0.09999999999948461,1.6042547787083334
immediate,24,0.007786409828210408,0.007817379763117683,0.7175113921923262,0.09999999999948461,1.6042547787083334
twap,24,0.5551793882500143,0.007730370846155959,0.7175113921923262,0.09999999999948461,1.6042547787083334
