weighting,mean_bps,p1,p5,p10,p25,p50,p75,p90,p95,p99,p99.9
time-weighted,0.0280826,0.0144457,0.0145209,0.0146155,0.0149029,0.0153944,0.0159494,0.0162932,0.0164094,0.544614,1.23935
event-weighted,0.0669144,0.014445,0.0145172,0.014608,0.0148837,0.0153548,0.0159977,0.0164103,0.440823,1.14145,2.69796
