date,sign,clip_btc,n_orders,span_s,mean_gap_s,median_gap_s,cv_gap,null_cv_median,p_more_regular_than_uniform
2026-07-24,1,0.00654529,26,0.0193217,0.000772867,0.000441074,1.79335,0.931178,1
2026-07-23,-1,0.002,48,83151.5,1769.18,267.724,1.79716,0.96195,1
2026-07-20,1,0.0001,36,64343.6,1838.39,547.087,1.801,0.926145,1
2026-07-21,1,5.1e-05,80,78583.5,994.727,276.203,1.81462,0.968977,1
2026-07-20,-1,0.000779,24,32544.6,1414.98,403.168,1.82115,0.907859,0.9975
2026-07-23,1,0.25,20,57240.1,3012.64,412.998,1.86188,0.911946,1
2026-07-21,-1,0.1,33,57131.4,1785.36,444.224,1.89609,0.939922,1
2026-07-20,-1,0.005,27,69063.5,2656.29,654.607,1.89784,0.934853,0.9975
2026-07-23,-1,0.001,35,77565.9,2281.35,872.884,1.92559,0.944652,1
2026-07-23,-1,0.000386,37,22214.9,617.08,105.999,1.94542,0.949849,1
2026-07-20,-1,0.000778,24,33769.6,1468.24,101.98,1.95768,0.907859,0.9975
2026-07-23,1,0.001,74,85103.1,1165.8,175.461,2.01704,0.965344,1
2026-07-22,1,0.0005,54,71214.5,1343.67,2.05692,2.03775,0.957928,1
2026-07-23,-1,0.002384,26,41319.9,1652.8,187.507,2.04892,0.931178,1
2026-07-23,1,0.5,24,36848.5,1602.11,5.63032,2.06438,0.907859,1
2026-07-21,1,0.002,45,83777,1904.02,280.878,2.06665,0.952328,1
2026-07-18,-1,5e-05,162,83295.6,517.364,52.485,2.08996,0.981351,1
2026-07-20,-1,0.000765,25,17597.4,733.226,122.864,2.10999,0.929482,1
2026-07-19,-1,5e-05,50,82200.6,1677.56,112.239,2.11257,0.980469,1
2026-07-18,1,0.00187611,35,546.205,16.0649,9.23128,2.12847,0.944652,1
2026-07-22,1,0.000379,61,52649.5,877.492,34.0293,2.13464,0.974574,1
2026-07-22,-1,0.002379,66,64086.7,985.949,194.091,2.18843,0.958927,1
2026-07-18,1,5e-05,176,84230,481.314,48.2858,2.21526,0.989673,1
2026-07-22,-1,0.000378,57,71826.8,1282.62,71.8814,2.22269,0.949253,1
2026-07-21,-1,7.557e-05,21,10715.7,535.786,63.2447,2.25011,0.925756,1
2026-07-20,-1,0.000773,22,54498.2,2595.15,281.326,2.25763,0.922527,1
2026-07-22,-1,0.002376,21,13326.7,666.335,222.731,2.26715,0.925756,1
2026-07-18,-1,0.00187611,29,533.377,19.0492,9.33277,2.26979,0.926831,1
2026-07-20,-1,0.000153,25,58035.2,2418.13,287.994,2.28198,0.929482,1
2026-07-21,-1,5e-05,116,72869.7,633.65,0.00533605,2.32935,0.987077,1
2026-07-23,-1,0.000381,22,34840.3,1659.06,442.501,2.402,0.922527,1
2026-07-22,1,0.0001,45,70841.6,1610.04,242.936,2.40888,0.952328,1
2026-07-20,1,7.501e-05,26,59747.8,2389.91,0.000250101,2.41759,0.931178,1
2026-07-22,-1,0.000379,173,64794.8,376.714,45.4523,2.4193,0.988522,1
2026-07-20,-1,5e-05,147,77361.1,529.87,1.35966,2.42077,0.987181,1
2026-07-23,-1,5e-05,90,80281.4,902.038,0.127986,2.46568,0.977753,1
2026-07-20,-1,7.5e-05,23,43158.2,1961.74,0.0252699,2.46878,0.926527,1
2026-07-21,1,0.003,46,62829.4,1396.21,221.617,2.49905,0.948066,1
2026-07-22,-1,0.00038,73,51239.6,711.661,143.122,2.50401,0.966783,1
2026-07-20,-1,0.00077,21,65690,3284.5,67.081,2.52098,0.925756,1
2026-07-24,1,0.01,42,65021.3,1585.89,131.597,2.53923,0.960953,1
2026-07-20,-1,0.000763,23,9461.71,430.078,43.5699,2.54626,0.926527,1
2026-07-21,1,7.541e-05,21,47858.3,2392.91,97.2084,2.54704,0.925756,1
2026-07-22,-1,0.001,37,57172.3,1588.12,112.681,2.58649,0.949849,1
2026-07-21,1,7.557e-05,21,12845.1,642.256,57.1771,2.59375,0.925756,1
2026-07-21,1,0.001,273,86022,316.257,26.1241,2.612,0.993979,1
2026-07-22,1,0.003,28,85372,3161.93,336.157,2.64506,0.932293,1
2026-07-20,1,5e-05,242,83704.1,347.32,0.00156188,2.64652,0.988135,1
2026-07-22,-1,0.0005,51,71782.3,1435.65,0.924221,2.65169,0.960128,1
2026-07-18,-1,8e-05,31,68911.2,2297.04,78.6015,2.65679,0.928719,1
2026-07-22,1,0.001,225,85396.8,381.236,30.5587,2.6593,0.995396,1
2026-07-21,-1,0.002377,33,54466.8,1702.09,324.435,2.67068,0.939922,1
2026-07-20,-1,0.000764,59,9255.84,159.583,21.1353,2.70192,0.979232,1
2026-07-23,-1,0.0001,31,79154.9,2638.5,850.435,2.75952,0.928719,1
2026-07-21,-1,0.000375,23,40529.6,1842.25,241.018,2.80288,0.926527,1
2026-07-23,1,7.5e-05,44,68265.2,1587.56,0.000175953,2.82278,0.96119,1
2026-07-22,1,0.00038,30,60445.1,2084.31,196.459,2.85417,0.946939,1
2026-07-23,-1,0.00038,47,31361.2,681.765,67.3186,2.86154,0.948163,1
2026-07-18,1,0.00156343,21,483.665,24.1832,7.51453,2.87908,0.925756,1
2026-07-18,-1,0.00156343,21,483.345,24.1673,7.65226,2.88374,0.925756,1
2026-07-19,1,5e-05,156,84358,544.245,0.002635,2.91326,0.993488,1
2026-07-21,1,7.501e-05,40,81984.2,2102.16,0.000121832,2.92259,0.945491,1
2026-07-23,-1,0.000768,23,30951.8,1406.9,197.143,2.99894,0.926527,1
2026-07-21,-1,7.501e-05,35,58029.6,1706.75,0.000104904,3.07122,0.944652,1
2026-07-20,-1,0.000772,37,55757.6,1548.82,88.7626,3.07326,0.949849,1
2026-07-20,-1,0.000777,27,35130.3,1351.17,67.6964,3.13707,0.934853,1
2026-07-21,-1,0.000763,25,46189.9,1924.58,207.778,3.18126,0.929482,1
2026-07-21,-1,0.000376,80,37310,472.279,63.0091,3.19921,0.968977,1
2026-07-21,-1,0.000377,99,57201.4,583.688,62.1259,3.29108,0.979043,1
2026-07-21,1,7.5e-05,22,36651.5,1745.31,0.000206947,3.43152,0.922527,1
2026-07-20,-1,0.000774,28,46010.9,1704.11,13.0293,3.48608,0.932293,1
2026-07-23,-1,7.501e-05,53,39705.6,763.568,0.000249505,3.68071,0.963999,1
2026-07-23,-1,0.000383,30,33863.2,1167.7,25.5392,3.70724,0.946939,1
2026-07-23,-1,0.000385,59,73118.3,1260.66,66.9092,4.19737,0.979232,1
2026-07-19,1,7.5e-05,20,34615.5,1821.87,9.98974e-05,4.24264,0.911946,1
2026-07-21,-1,7.5e-05,21,19185.1,959.255,0.000148654,4.3589,0.925756,1
2026-07-23,1,0.000384,53,32534.3,625.66,16.3824,4.39244,0.963999,1
2026-07-20,-1,0.000771,67,53945.5,817.356,15.1419,4.44257,0.951246,1
2026-07-23,-1,0.000384,124,40165.2,326.546,20.4141,4.67145,0.98544,1
2026-07-23,1,0.0666667,25,5295.78,220.658,0.000171542,4.79582,0.929482,1
2026-07-22,-1,0.000377,49,56118.8,1169.14,133.099,5.12964,0.963286,1
2026-07-22,-1,0.000376,53,67407.9,1296.31,60.9712,5.33767,0.963999,1
2026-07-24,-1,7.5e-05,58,23090.3,405.092,0.000329971,5.64354,0.95852,1
2026-07-20,-1,7.501e-05,83,50380.2,614.393,0.00039351,5.65157,0.980623,1
2026-07-20,-1,0.0666667,38,56317.9,1522.11,0.000223875,5.82417,0.957869,1
2026-07-24,-1,7.501e-05,65,28480.7,445.011,0.000234008,5.93622,0.972064,1
2026-07-20,1,0.0666667,48,39717.1,845.045,0.000231981,6.78233,0.96195,1
2026-07-24,1,7.501e-05,112,51940.7,467.934,0.000142097,6.87583,0.977338,1
