series,n,mean_btc,p1,p25,p50,p75,p90,p99,p99.9,max_btc,hill_alpha_top5pct,hill_threshold_btc,share_below_0.01_btc
fill,396688,0.026742,6.5e-07,0.000155378,0.00076281,0.0045,0.0341,0.612496,1.57129,11.5631,0.95079,0.11,0.79594
aggressive order,161702,0.0551113,1.535e-05,0.00030418,0.00127404,0.00873133,0.0703944,0.911644,4.17996,15.4433,1.06442,0.255774,0.759088
