bar_seconds,n_bars,acf_lag1,acf_lag10,decay_exponent,fit_r2,fit_lag_min,fit_lag_max,literature_exponent
1,604799,0.0949689,0.028184,0.271681,0.658552,2,200,
60,10080,0.120723,0.0695311,0.408523,0.461522,2,200,0.16
