phi,normalised_impact,sem_iid,n,regime,variant,method,seed
0.15,0.00117871,0.000932988,469,normal,maitrier_threshold,time_threshold,7
0.2,0.00123009,0.00102826,469,normal,maitrier_threshold,time_threshold,7
0.25,0.00175824,0.00113885,469,normal,maitrier_threshold,time_threshold,7
0.3,0.00248041,0.00120227,469,normal,maitrier_threshold,time_threshold,7
0.35,0.00282222,0.00126908,469,normal,maitrier_threshold,time_threshold,7
0.4,0.00311624,0.00133356,469,normal,maitrier_threshold,time_threshold,7
0.45,0.00318808,0.00138326,469,normal,maitrier_threshold,time_threshold,7
0.5,0.00375001,0.00153238,469,normal,maitrier_threshold,time_threshold,7
0.55,0.00512247,0.00211596,469,normal,maitrier_threshold,time_threshold,7
0.6,0.00538389,0.00217043,469,normal,maitrier_threshold,time_threshold,7
0.65,0.00510538,0.00226138,469,normal,maitrier_threshold,time_threshold,7
0.7,0.00521166,0.00234222,469,normal,maitrier_threshold,time_threshold,7
0.75,0.00551767,0.00239258,469,normal,maitrier_threshold,time_threshold,7
0.8,0.00570161,0.00245104,469,normal,maitrier_threshold,time_threshold,7
0.85,0.00648801,0.00251377,469,normal,maitrier_threshold,time_threshold,7
0.9,0.00755973,0.00260066,469,normal,maitrier_threshold,time_threshold,7
0.95,0.0088349,0.00270933,469,normal,maitrier_threshold,time_threshold,7
1,0.0136752,0.00292443,469,normal,maitrier_threshold,time_threshold,7
0.05,0.00233144,0.000865885,473,normal,maitrier_threshold,time_threshold,23
0.1,0.00282647,0.00109394,473,normal,maitrier_threshold,time_threshold,23
0.15,0.00293308,0.00116627,473,normal,maitrier_threshold,time_threshold,23
0.2,0.00331634,0.00125627,473,normal,maitrier_threshold,time_threshold,23
0.25,0.00377027,0.00134845,473,normal,maitrier_threshold,time_threshold,23
0.3,0.00500079,0.00147366,473,normal,maitrier_threshold,time_threshold,23
0.35,0.00588244,0.00161612,473,normal,maitrier_threshold,time_threshold,23
0.4,0.00693616,0.00173596,473,normal,maitrier_threshold,time_threshold,23
0.45,0.00740596,0.00179969,473,normal,maitrier_threshold,time_threshold,23
0.5,0.00770488,0.00185345,473,normal,maitrier_threshold,time_threshold,23
0.55,0.00838386,0.00192551,473,normal,maitrier_threshold,time_threshold,23
0.6,0.00916101,0.00200193,473,normal,maitrier_threshold,time_threshold,23
0.65,0.00973632,0.00206708,473,normal,maitrier_threshold,time_threshold,23
0.7,0.0102058,0.00213364,473,normal,maitrier_threshold,time_threshold,23
0.75,0.01104,0.00222169,473,normal,maitrier_threshold,time_threshold,23
0.8,0.0115479,0.00231779,473,normal,maitrier_threshold,time_threshold,23
0.85,0.0121331,0.00236123,473,normal,maitrier_threshold,time_threshold,23
0.9,0.0126706,0.0024075,473,normal,maitrier_threshold,time_threshold,23
0.95,0.015154,0.00256619,473,normal,maitrier_threshold,time_threshold,23
1,0.0216267,0.00307241,473,normal,maitrier_threshold,time_threshold,23
0.05,5.84656e-05,0.00121104,490,normal,maitrier_threshold,time_threshold,71
