size_decile,mean_qty_btc,mean_consumed_depth_btc,mean_spread_bps,n
1,4.7794e-05,70.0062,0.0594194,16169
2,0.000139823,74.7338,0.0581918,16143
3,0.000304168,73.6091,0.0609785,16197
4,0.000502252,70.5806,0.0514491,16172
5,0.000909459,68.0285,0.0469828,16169
6,0.00167348,67.0372,0.0576646,16171
7,0.0031814,66.2058,0.0531004,16170
8,0.00941215,69.9546,0.080557,16170
9,0.0341672,63.6267,0.110848,16170
10,0.500751,62.3935,0.238996,16171
