weighting,mean_bps,p1,p5,p10,p25,p50,p75,p90,p95,p99,p99.9
time-weighted,0.0322515,0.0145206,0.0149013,0.0153912,0.0155898,0.0158905,0.016197,0.0163838,0.0164465,0.621448,1.45765
event-weighted,0.0782973,0.0145173,0.0148841,0.0153558,0.0156007,0.0159291,0.0162644,0.016469,0.521113,1.22441,2.72674
