gap_ms,observed_count,local_baseline_count,excess_ratio,excess_sigma
50,135,143.5,0.940767,-0.709566
100,155,111.5,1.39013,4.11957
200,66,63.5,1.03937,0.313728
250,87,82.5,1.05455,0.495434
500,55,44.5,1.23596,1.57402
1000,47,36.5,1.28767,1.73797
2000,26,24,1.08333,0.408248
2500,26,18,1.44444,1.88562
3000,18,16.5,1.09091,0.369274
5000,8,9.5,0.842105,-0.486664
