statistic,n_children,qty_btc,contra_qty_btc,duration_s,participation,rate_btc_per_s,q_over_adv,impact_bps
count,28140,28140,28140,28140,28140,28140,28140,28140
mean,3.07655,0.228776,0.00360824,0.571243,0.989635,7.73807,0.000189385,0.953863
std,5.0838,1.98096,0.134043,0.67748,0.0418557,101.957,0.00163987,1.48062
min,2,2.621e-05,0,5.8e-05,0.66674,4.15945e-05,2.16971e-08,-9.27142
25%,2,0.00190487,0,0.0955953,1,0.00585239,1.57688e-06,0
50%,2,0.00757171,0,0.410069,1,0.0349414,6.268e-06,0.493722
75%,3,0.0417469,0,0.83328,1,0.309431,3.45588e-05,1.60951
max,407,180.381,17.3273,25.4577,1,7505.48,0.149323,47.851
