day,date,volume,sigma_range,orders,first_ns,last_ns
20660,2026-07-26,614.32111676,0.01970212795732099,17336,1785024000161725000,1785110399028208000
20661,2026-07-27,1694.98333465,0.03235401930466192,28142,1785110400155619000,1785196796890734000
20662,2026-07-28,1222.39072364,0.020842409499341113,28439,1785196800416478000,1785283191744403000
20663,2026-07-29,1298.78915183,0.022409935397673567,32943,1785283200240692000,1785369596182030000
20664,2026-07-30,1153.40579555,0.02405832777133984,23664,1785369600274853000,1785455989159388000
20665,2026-07-31,2282.9286265600003,0.04532318134448441,29481,1785456000183932000,1785542395507439000
20666,2026-08-01,521.7328641299999,0.013727707795933963,17093,1785542400071452000,1785628795631439000
20667,2026-08-02,873.1864667799999,0.015471650312022238,18835,1785628800202977000,1785715171178938000
