number,value,params_market_maker_asymmetric_liquidity,params_market_maker_flow_response,params_market_maker_flow_signal_decay,params_market_maker_inventory_signal_decay,params_market_maker_inventory_skew,params_market_maker_level_spacing_ticks,params_market_maker_quote_size,params_market_maker_quote_size_sigma,params_market_maker_refresh_seconds,params_market_maker_spread_sensitivity,params_market_order_arrival_rate,params_order_flow_burst_interval_seconds,params_order_flow_burst_probability,params_reference_price_volatility,params_sign_regime_switch_probability,params_trade_sign_persistence,params_trade_size_median,params_trade_size_sigma,user_attrs_loss_std,user_attrs_metric_distances,user_attrs_seed_losses,state
0,109.29348976654519,,,,,,,,,,,,,,,,,,,45.832401177109766,"{'median_spread': 0.0, 'mean_trade_size': 0.18636887624526088, 'trades_per_second': 0.23948671887562092, 'return_volatility': 3.0913780021471062, 'spread_distribution': 1.0871762374001068, 'relative_spread_distribution': 1.0858595659090609, 'trade_size_distribution': 0.23063871692328064, 'interarrival_distribution': 0.4968442483132059, 'bid_depth_distribution': 0.4200351758150492, 'ask_depth_distribution': 0.488401962084631, 'sign_acf_curve': 0.5385091421018989, 'response_curve': 18.163710958006018, 'clock_response_curve': 2.3852991833159254, 'size_impact_curve': 17.17015287221922, 'flow_impact_curve': 18.675026563959303}","[59.605577757955, 168.98979406466492, 92.41023730044923]",COMPLETE
1,170.32584699219515,0.4322183989619903,3.5350668837584203,0.2889696757540235,0.8067587255421556,0.1413333420659988,1.0,0.3877893833115458,1.0017927418559007,0.17475296579552055,0.0016953863151333202,0.2881541446869786,0.008021358442025306,0.18870047982694504,19.896296486385808,0.07576138471613401,0.8993813222152263,0.0017184477977238522,3.466984267994904,46.61041250094273,"{'median_spread': 0.0, 'mean_trade_size': 2.0469441237543458, 'trades_per_second': 0.2710689519257858, 'return_volatility': 3.065544896978205, 'spread_distribution': 1.0965978293740073, 'relative_spread_distribution': 1.0949784323105647, 'trade_size_distribution': 1.006224526897089, 'interarrival_distribution': 0.21285001898402456, 'bid_depth_distribution': 0.566988529055604, 'ask_depth_distribution': 0.6228360756922858, 'sign_acf_curve': 0.2623508692028293, 'response_curve': 37.19225496662975, 'clock_response_curve': 2.164020729982196, 'size_impact_curve': 36.129072797852096, 'flow_impact_curve': 13.69257537776675}","[138.1771062640166, 233.81564483761656, 131.99322799981084]",COMPLETE
2,32.18801037425106,0.5585770340775884,0.5960509234630517,0.12843050342980988,0.7737073724215523,0.5329857463514135,1.0,0.399317507745317,1.65460539981877,0.29695364514809014,0.050868918458989956,0.7156030098445109,0.04740629215115039,0.2878287507573854,6.678764078182679,0.10008233761961838,0.72572682233658,0.0027131981504822586,2.345454318531447,2.640059828025372,"{'median_spread': 0.0, 'mean_trade_size': 0.05775695876770687, 'trades_per_second': 0.6408807539060004, 'return_volatility': 0.37131888047213385, 'spread_distribution': 1.0798744916006962, 'relative_spread_distribution': 1.0784750507909273, 'trade_size_distribution': 0.16884116088626097, 'interarrival_distribution': 0.6940035268406913, 'bid_depth_distribution': 1.7517487900130249, 'ask_depth_distribution': 1.3262205260925672, 'sign_acf_curve': 0.8432352233804988, 'response_curve': 1.6049710133903528, 'clock_response_curve': 0.9183685248906782, 'size_impact_curve': 5.023041697121055, 'flow_impact_curve': 6.6602489911561635}","[35.37496930579422, 31.877486467720413, 28.91556637503473]",COMPLETE
3,31.038758402738473,0.6335610654647106,6.0908392182894175,0.11478185595175235,0.2712263888095461,0.45204990519484206,2.0,0.2251292351300862,1.2518391404476132,0.25977794170104734,0.37753757790959325,0.6343237532597547,0.01111251607095367,0.4623469146119951,5.872339958979216,0.0958937998965931,0.7922187757589123,0.0006976214416323442,2.6792643988196003,2.0300859690228785,"{'median_spread': 0.0, 'mean_trade_size': 0.4210328020446091, 'trades_per_second': 0.48600257377743206, 'return_volatility': 0.2239206545773019, 'spread_distribution': 0.953440695608045, 'relative_spread_distribution': 0.952748347410143, 'trade_size_distribution': 0.5578792582593878, 'interarrival_distribution': 0.5161017701694847, 'bid_depth_distribution': 0.5785199642565921, 'ask_depth_distribution': 0.6131606946728971, 'sign_acf_curve': 0.6233776944470989, 'response_curve': 1.7443239638750196, 'clock_response_curve': 0.9555987231543736, 'size_impact_curve': 6.830285211608402, 'flow_impact_curve': 6.131336850749318}","[30.029604382241494, 33.749892766564585, 29.032265164055914]",COMPLETE
4,43.74476141367273,1.272601321256533,0.17377572697944385,4.255121872721636,0.5658391446455379,0.05136641924712411,4.0,0.6156064232343306,1.7287493168046815,0.11168117861154331,1.93217859087248,0.4574429892197216,0.0018290319196163968,0.5969598646839582,6.593665578803274,0.02383935187701281,0.7203281825294343,0.001670411786538231,2.786518395147796,9.931616868374306,"{'median_spread': 0.0, 'mean_trade_size': 0.589600021087799, 'trades_per_second': 0.03656790506504656, 'return_volatility': 0.3459447644940878, 'spread_distribution': 1.0172840034387172, 'relative_spread_distribution': 1.016228528848001, 'trade_size_distribution': 0.3542618477042038, 'interarrival_distribution': 0.10957336492472042, 'bid_depth_distribution': 3.6816964184789107, 'ask_depth_distribution': 3.385930506274315, 'sign_acf_curve': 0.718908178683081, 'response_curve': 5.500764938319326, 'clock_response_curve': 1.3194784714362056, 'size_impact_curve': 6.436706138577741, 'flow_impact_curve': 4.65797301883887}","[29.685582387770307, 46.86760231794932, 53.1913570050424]",COMPLETE
5,89.22686723764514,0.6909454442449153,3.03416373131414,1.9577237339040088,0.31318165283577504,0.0900951523374121,2.0,0.21898402112830204,0.7190818714759089,0.1410790925700082,0.06552602411679105,0.4043668286489177,0.022378838375445867,0.6267378187042776,14.27776690340661,0.12127708010252,0.8264891706555159,0.0010646009018768225,2.2053141781961765,12.727495098501224,"{'median_spread': 0.0, 'mean_trade_size': 0.7327335060296991, 'trades_per_second': 0.06486748803351121, 'return_volatility': 1.919881999279488, 'spread_distribution': 1.0965978293740073, 'relative_spread_distribution': 1.0949478529230612, 'trade_size_distribution': 0.8603082248601207, 'interarrival_distribution': 0.2017458844148509, 'bid_depth_distribution': 1.0311243599578253, 'ask_depth_distribution': 1.051575805919969, 'sign_acf_curve': 0.6800222834166657, 'response_curve': 11.518903904997034, 'clock_response_curve': 1.4033229211909284, 'size_impact_curve': 19.300224033734334, 'flow_impact_curve': 17.080067969867127}","[83.2004564665448, 106.1581138618322, 76.41290711978323]",COMPLETE
6,54.94929094376126,0.8997816563151695,0.3315890883686423,2.111684852513392,0.06639122151848861,0.3279438594739169,4.0,0.32265529751313643,1.4748175310910436,0.13579616298669187,0.03070305323875532,0.6502395244992318,0.03319175681956308,0.5837979453992637,12.582223583284499,0.01609837141550287,0.9359956113584026,0.0023352124490130183,2.4148446086767015,4.108348783228386,"{'median_spread': 0.0, 'mean_trade_size': 0.044169668895940706, 'trades_per_second': 0.4901718739037239, 'return_volatility': 1.5771776747283965, 'spread_distribution': 1.0965978293740073, 'relative_spread_distribution': 1.0949961834597162, 'trade_size_distribution': 0.28948871045771013, 'interarrival_distribution': 0.3799869743357686, 'bid_depth_distribution': 0.3826743847318295, 'ask_depth_distribution': 0.3312786386934647, 'sign_acf_curve': 0.8667996227948397, 'response_curve': 7.585896069251301, 'clock_response_curve': 0.6439207969651792, 'size_impact_curve': 8.538083941298003, 'flow_impact_curve': 10.548646819356218}","[59.17595716436489, 55.781332928999234, 49.274330420435405]",COMPLETE
7,101.95420868273374,0.2542855853493137,0.10087803783601285,0.14032248859534693,0.7431103878330327,0.03390220094828607,5.0,0.4750976986281589,1.5255251119938007,0.1305356222671824,0.09973943916468243,0.25357163763949925,0.0011677460555962456,0.6070341569726441,14.423347967706343,0.07947043270572209,0.816659071744683,0.00044732735463127196,2.8121631981428292,13.49831771212351,"{'median_spread': 0.0, 'mean_trade_size': 0.5679420821106275, 'trades_per_second': 0.4107683310017629, 'return_volatility': 1.912354806313421, 'spread_distribution': 1.0824654414131567, 'relative_spread_distribution': 1.0812001605743153, 'trade_size_distribution': 0.6498081178679899, 'interarrival_distribution': 0.9128919893420558, 'bid_depth_distribution': 1.2661742439544295, 'ask_depth_distribution': 1.0303356467934834, 'sign_acf_curve': 0.5721074858138816, 'response_curve': 13.317498408177485, 'clock_response_curve': 1.2812888800802964, 'size_impact_curve': 26.618515009509874, 'flow_impact_curve': 17.010357991225145}","[94.9454668631918, 120.04168133764217, 88.85073019054869]",COMPLETE
8,41.42016421585688,0.8245711812010912,0.121948518749987,1.0688282650272138,1.5926544353466787,0.45182965525846097,1.0,1.0450363243725964,1.6546919420173578,0.2504615648076582,0.6440830138597193,0.5163224024718368,0.003656517326638407,0.07309372313973618,3.0318614287985017,0.15627095217356735,0.9032988122120198,0.0006951092413037789,2.253651595048075,2.696336430189417,"{'median_spread': 0.0, 'mean_trade_size': 0.7763908576366697, 'trades_per_second': 0.13958028049767593, 'return_volatility': 0.39322984764867713, 'spread_distribution': 1.0691328126749726, 'relative_spread_distribution': 1.0681147855363136, 'trade_size_distribution': 0.9296827516661536, 'interarrival_distribution': 0.6003187247916114, 'bid_depth_distribution': 6.3703020672518, 'ask_depth_distribution': 5.541290848000265, 'sign_acf_curve': 0.5420167497883935, 'response_curve': 2.9285446936822583, 'clock_response_curve': 1.140898091179273, 'size_impact_curve': 4.137787337336677, 'flow_impact_curve': 4.934664606626501}","[38.62506172132303, 44.98139498815137, 40.24958547356784]",COMPLETE
9,33.43042180278579,1.4888365787589604,0.2893562624065467,0.7579869226867143,0.08674743329534916,0.09608661569143832,3.0,0.12398988045608371,0.23710458895897946,0.4257739565093408,1.8654934326462584,0.6539354232267758,0.04584380451755028,0.05687693950992475,3.681685220461624,0.011232475755896806,0.730296239994382,0.0008288896406912754,2.0954334285478278,5.729301400178382,"{'median_spread': 0.0, 'mean_trade_size': 0.8194977602189613, 'trades_per_second': 0.4682748867517769, 'return_volatility': 0.26686200203147287, 'spread_distribution': 1.0006936721203452, 'relative_spread_distribution': 1.0002833392866923, 'trade_size_distribution': 0.9383039339923546, 'interarrival_distribution': 0.7451001215860247, 'bid_depth_distribution': 1.1842604269727872, 'ask_depth_distribution': 1.1964184632797716, 'sign_acf_curve': 0.6781438156321924, 'response_curve': 2.82847409750879, 'clock_response_curve': 1.0843453919386195, 'size_impact_curve': 3.646075802204228, 'flow_impact_curve': 5.89194738516121}","[29.15810992891658, 29.02769764085021, 41.24606262856383]",COMPLETE
