seconds_after,impact,std
0,0.001037714865854082,0.0011998970609804968
30,0.0010858652605752978,0.0012380791428041773
60,0.0010958682017263165,0.001246866551122604
120,0.0010978491674901684,0.0012487479652686856
300,,
