participation,impact,std,n,impact_bp
0.001,0.00019811090615918904,0.00014413500678066773,6,1.9811090615918905
0.0025,0.00030191424124037725,0.00021174067044128013,6,3.0191424124037725
0.005,0.0004247385670391954,0.0002958047765827501,6,4.247385670391954
0.01,0.0006025082155753614,0.0004211253104797699,6,6.025082155753614
0.02,0.0008547656833652091,0.000599311026212068,6,8.547656833652091
0.05,0.001346860685035537,0.0009413727777317717,6,13.468606850355371
0.1,0.0019034079219515884,0.001335993612434314,6,19.034079219515885
0.2,0.002687383629625314,0.0018933245116863992,6,26.87383629625314
