horizon_quote_events,directional_accuracy,correlation,n
1,0.680417,0.123271,1067817
2,0.711959,0.175324,1383429
5,0.740649,0.267896,1897445
10,0.761197,0.339349,2307116
20,0.766003,0.398335,2875287
50,0.733338,0.415391,3897074
100,0.684906,0.366118,4752974
200,0.630648,0.289373,5468845
500,0.579001,0.190198,5982666
1000,0.55204,0.131897,6125285
