bar_seconds,n_bars,acf_lag1,acf_lag10,decay_exponent,fit_r2,fit_lag_min,fit_lag_max,literature_exponent
1,691200,0.166451,0.0660304,0.338139,0.764574,2,200,
60,11520,0.211717,0.115419,0.757111,0.641461,2,200,0.16
