bar_seconds,n_bars,acf_lag1,mean_abs_acf_lags_2_20,noise_floor,variance_ratio_k10plus
1,691199,0.118521,0.0142768,0.00235752,1.78128
60,11519,0.0240776,0.0180932,0.018262,1.04243
