band_bps,mean_bid_depth_btc,mean_ask_depth_btc,mean_total_depth_btc
1,2.74431,3.1097,5.85401
2,5.75513,6.36535,12.1205
5,24.6448,25.555,50.1998
10,79.4137,77.0597,156.473
20,97.5307,94.0265,191.557
50,97.7584,94.2843,192.043
