progress,impact_observed,observed_std,impact_causal,causal_std
0.026912310776430613,5.595336916381685e-08,7.701077101180224e-05,5.5953369163816834e-08,4.180309741283427e-07
0.07304119532137288,6.545912375416109e-08,0.0002436653835841763,6.545912375416146e-08,4.2623864089134714e-07
0.12439634807829027,6.83437141286581e-08,0.0002815005523390318,6.834371412865863e-08,4.0870886805185486e-07
0.17357367819683225,1.1241900470868887e-07,0.0002929805360396833,1.1241900470868823e-07,6.863574925294564e-07
0.22406248610819537,5.9512421039913664e-08,0.00032011712241230455,5.951242103991293e-08,3.5649009718293653e-07
0.275262231254337,8.370948472829622e-08,0.00026157744775790544,8.37094847282962e-08,5.687493009065918e-07
0.32432792249653436,3.762250478402347e-08,0.00019055506962848456,3.762250478402341e-08,3.19254431654498e-07
0.37638396493976817,9.917840154176504e-08,0.00019424078615093272,9.917840154176516e-08,5.367639949674905e-07
0.4271823308429308,2.646781134619146e-06,0.00022629710208203047,1.4544361920911622e-07,7.233868262599703e-07
0.4746128143077646,-8.447588605915243e-07,0.00021683509971319185,1.6393268094920147e-07,8.038972623674885e-07
0.5243896650145741,-1.1513923527336704e-06,0.00025706095230684426,9.983850328910322e-08,6.660353008082946e-07
0.5743704858887247,7.63014586903207e-08,0.00032785419334961744,7.630145869032108e-08,5.228079776914864e-07
0.6249454044303889,1.5053536472022938e-07,0.00030968958217540205,1.5053536472022956e-07,8.077279067940298e-07
0.6738290023461855,9.917567824290824e-08,0.0004185865209071372,9.917567824290847e-08,5.263711893989112e-07
0.7235452103586263,9.022780143250437e-08,0.00042939143654983425,9.022780143250386e-08,5.802603311586288e-07
0.7670965861006036,1.2205686112225692e-07,0.0003970892152643414,1.2205686112225678e-07,6.117566877467105e-07
0.8141296790853547,0.0,0.0004703159416562197,0.0,0.0
0.8777931994763621,4.70990142334122e-07,0.0003599799746005019,4.7099014233412167e-07,1.7260302930894557e-06
0.9227958670071951,5.455109363253432e-07,0.0006083573895539272,5.455109363253422e-07,1.5545393349604865e-06
0.9905143418820449,2.920404485464437e-07,0.0004429685480138531,2.92040448546444e-07,1.182182063156459e-06
