participation,impact,std,n,impact_bp
0.001,1.5871231578502983e-06,7.60937952953688e-10,30,0.015871231578502985
0.0025,1.6400004352446652e-06,2.894697270671177e-07,30,0.01640000435244665
0.005,1.851643407512653e-06,6.015969462774303e-07,30,0.01851643407512653
0.01,2.2748930486302753e-06,9.019454415959153e-07,30,0.022748930486302752
0.02,2.751022493619821e-06,1.3135345674978228e-06,30,0.027510224936198212
0.05,4.390796954554228e-06,2.5575687643536173e-06,30,0.04390796954554228
0.1,6.348238066915053e-06,4.228564705581865e-06,30,0.06348238066915053
0.2,9.628371039575692e-06,6.482038860857241e-06,30,0.09628371039575692
